layout,ping_noise,condition,seed,escape_rate,time_to_exit_mean,jam_events_mean,path_eff_mean
corridor,0.12,rule_only,5,0.7333333333333333,251.72727272727272,0,0.419174508942114
corridor,0.12,rule_only,6,0.8,307.4166666666667,0.06666666666666667,0.3707696738071409
corridor,0.12,rule_only,7,0.8666666666666667,314.38461538461536,0,0.37397894944344034
corridor,0.12,rule_only,8,0.8666666666666667,266,0,0.4064754880517578
corridor,0.12,rule_only,9,0.8666666666666667,248.76923076923077,0,0.4621370165678551
corridor,0.12,one_llm,0,1.0,164.93333333333334,0,0.673379273293013
corridor,0.12,one_llm,1,1.0,157.13333333333333,0,0.7161278311224538
corridor,0.12,one_llm,2,1.0,204.2,0.06666666666666667,0.542618536496868
corridor,0.12,one_llm,3,0.9333333333333333,164.78571428571428,0.06666666666666667,0.6865794864112398
corridor,0.12,one_llm,4,1.0,179,0.2,0.6294340808045197
corridor,0.12,one_llm,5,1.0,149.93333333333334,0.06666666666666667,0.7452374472398516
corridor,0.12,one_llm,6,0.9333333333333333,173.21428571428572,0.26666666666666666,0.6562143046876966
corridor,0.12,one_llm,7,1.0,152.46666666666667,0,0.7573326820709892
corridor,0.12,one_llm,8,1.0,168.46666666666667,0,0.6621769285022486
corridor,0.12,one_llm,9,1.0,159.53333333333333,0,0.7210920672053274
corridor,0.2,rule_only,0,0.9333333333333333,247.14285714285714,0,0.4137524934950153
corridor,0.2,rule_only,1,1.0,201.66666666666666,0,0.5224807792429689
corridor,0.2,rule_only,2,0.26666666666666666,736.75,0,0.13751603211025043
corridor,0.2,rule_only,3,0.7333333333333333,224.9090909090909,0.06666666666666667,0.4573788715847034
corridor,0.2,rule_only,4,0.6,195.77777777777777,0,0.498571913476007
corridor,0.2,rule_only,5,0.7333333333333333,251.72727272727272,0,0.419174508942114
corridor,0.2,rule_only,6,0.8,307.4166666666667,0.06666666666666667,0.3707696738071409
corridor,0.2,rule_only,7,0.8666666666666667,314.38461538461536,0,0.37397894944344034
corridor,0.2,rule_only,8,0.8666666666666667,266,0,0.4064754880517578
corridor,0.2,rule_only,9,0.8666666666666667,248.76923076923077,0,0.4621370165678551
corridor,0.2,one_llm,0,1.0,158.06666666666666,0.06666666666666667,0.7169694454296401
corridor,0.2,one_llm,1,1.0,151.26666666666668,0,0.74963418236503
corridor,0.2,one_llm,2,0.9333333333333333,183.28571428571428,0.06666666666666667,0.6123792773443067
corridor,0.2,one_llm,3,0.9333333333333333,159.57142857142858,0.06666666666666667,0.7116458098502367
corridor,0.2,one_llm,4,1.0,212.06666666666666,0,0.5368654659820637
corridor,0.2,one_llm,5,0.8666666666666667,177.46153846153845,0.06666666666666667,0.6397931598959348
corridor,0.2,one_llm,6,0.9333333333333333,167.28571428571428,0.13333333333333333,0.6723513098293963
corridor,0.2,one_llm,7,0.9333333333333333,142.85714285714286,0,0.8153794150400164
corridor,0.2,one_llm,8,1.0,262.06666666666666,0,0.4241113084313396
corridor,0.2,one_llm,9,1.0,144.6,0,0.7850795701276222
bottleneck,0.08,rule_only,0,0.5333333333333333,499.5,0,0.21721884649258882
bottleneck,0.08,rule_only,1,0.8,282.0833333333333,0,0.38522595644082863
